ㄱ+ㅏ	VV	0.0063421597570621135	ㅏ	13
ㄱ+ㅏ	VX	0.0023958220227308508	ㅏ	13
ㄱㅏㄲㅏ+ㅂ	VA	0.0029676979185448743	ㅇ	6
ㄱㅏㄲ+ㅜ	VV	0.0010398183191659336	ㅝ	15
ㄱㅏㄴㄷㅡㄹㅓㅈ+ㅣ	VA	9.796266583538956e-05	ㅕ	5
ㄱㅏㄴㅈㅣㄹㄱㅓㄹ+ㅣ	VV	6.286383727990086e-05	ㅕ	5
ㄱㅏㄴㅈㅣㄹㅇ+ㅣ	VV	0.00014855630901377265	ㅕ	5
ㄱㅏㄴㅈㅣㄹㅓ+ㅂ	VA	0.00025346651046400813	ㅇ	6
ㄱㅏㄴㅈㅣㄹㅓㅂㅎ+ㅣ	VV	0.00017231359567378574	ㅕ	5
ㄱㅏㄴㅈㅣ+ㄹㅡ	VV	7.557226597395574e-05	ㄹ	11
ㄱㅏㄴㅊㅜㄹ+ㅣ	VV	0.0002655489482854162	ㅕ	5
ㄱㅏㄴ+ㅎㅏ	VV	0.00016068183922720303	ㅎ	1
ㄱㅏㄴㅑㄹㅍ+ㅡ	VA	0.0003165362841391558	ㅏ	16
ㄱㅏㄴㅕㄹ+ㅣ	VA	0.00012698687347427535	ㅕ	5
ㄱㅏㄴ+ㅜ	VV	0.0003557129148655145	ㅝ	15
ㄱㅏㄴㅡ+ㄹ	VA	0.0009913614451973795	ㄻㄹㅂㅅㄴㅇ	7
ㄱㅏㄷㅎ+ㅣ	VV	0.0010631901699112494	ㅕ	5
ㄱㅏㄷ+ㅜ	VV	0.0006892585735534075	ㅝ	15
ㄱㅏ+ㄹ	VV	0.001330605568699474	ㄻㄹㅂㅅㄴㅇ	7
ㄱㅏㄹㄱ+ㅜ	VV	0.00010116552168178833	ㅝ	15
ㄱㅏㄹㄱ+ㅣ	VV	0.0003899483570577547	ㅕ	5
ㄱㅏㄹㄹㅏㅅ+ㅓ	VV	0.00016068183922720303	ㅓ	2
ㄱㅏㄹㄹㅏㅈ+ㅣ	VV	0.0008866763386289593	ㅕ	5
ㄱㅏㄹㄹ+ㅣ	VV	0.0003764983257917951	ㅕ	5
